,setID,RepCount,isValid,removed,StartMessg,RepN,AvgVel,ROM,PeakVel,PeakVelLoc,PeakAccel,RepDur,TimeBWReps,TimeRepComp,TimeRepWait,SlowAllow,Backlight
104,02fafe14-9993-481e-bd7b-8e06162ea32b,2,True,False,-2345,3,0.4512984,477,0.9263908,72,-2121,1059693,0,9.571616e+07,0,130000,10000
105,02fafe14-9993-481e-bd7b-8e06162ea32b,3,True,False,-2345,4,0.4590793,480,0.8631479,76,-2121,1047913,2,2.405357e+08,132263,130000,10000
106,02fafe14-9993-481e-bd7b-8e06162ea32b,4,True,False,-2345,5,0.4624459,491,0.8784175,73,-2121,1063079,0,2.437107e+08,502289,130000,10000
107,02fafe14-9993-481e-bd7b-8e06162ea32b,5,True,False,-2345,6,0.4529971,475,0.8356793,74,-2121,1049286,0,2.471404e+08,132935,130000,10000
108,0387b740-0d93-4ec1-9da6-7bfe52fe20b7,0,True,False,-2345,18,0.4028305,693,0.868915,87,-2121,1722839,7,2.559427e+09,0,130000,10000
109,039bea80-9c6d-489a-a6f4-c907fd56dd96,0,True,False,-1234,1,0.47,269,0.65,55,-9999,5,10,-9876,912.07,586.05,497.04
110,039bea80-9c6d-489a-a6f4-c907fd56dd96,1,True,False,-1234,2,0.47,277,0.65,39,-9999,5,10,-9876,857.07,524.05,515.04
111,039bea80-9c6d-489a-a6f4-c907fd56dd96,2,True,False,-1234,3,0.34,322,0.62,33,-9999,5,10,-9876,915.07,537.05,448.05
112,03bebada-ea2d-4c5f-a9bd-c0852376323a,0,True,False,-2345,32,0.59,387,0.82,85,-2121,655914,4,836585472,0,130000,10000
113,03bebada-ea2d-4c5f-a9bd-c0852376323a,1,True,False,-2345,33,0.65,434,0.89,79,-2121,663727,0,838524416,0,130000,10000
114,03bebada-ea2d-4c5f-a9bd-c0852376323a,2,True,False,-2345,34,0.63,434,0.84,84,-2121,685669,0,840319360,0,130000,10000
115,03bebada-ea2d-4c5f-a9bd-c0852376323a,3,True,False,-2345,35,0.6,436,0.76,90,-2121,732940,0,842400640,0,130000,10000
116,03bebada-ea2d-4c5f-a9bd-c0852376323a,4,True,False,-2345,36,0.59,404,0.76,79,-2121,684418,0,844813376,0,130000,10000
117,03bebada-ea2d-4c5f-a9bd-c0852376323a,5,True,False,-2345,37,0.53,376,0.73,83,-2121,705139,0,847009920,0,130000,10000
118,03bebada-ea2d-4c5f-a9bd-c0852376323a,6,True,False,-2345,38,0.5,395,0.58,38,-2121,791230,0,849372672,0,130000,10000
119,03bebada-ea2d-4c5f-a9bd-c0852376323a,7,True,False,-2345,39,0.49,393,0.59,89,-2121,796143,0,852035648,0,130000,10000
120,03bebada-ea2d-4c5f-a9bd-c0852376323a,8,True,False,-2345,40,0.41,374,0.47,47,-2121,904541,0,855005120,0,130000,10000
121,042bf6e1-a9cd-42db-be95-6a5a04a9697c,0,True,False,-1234,1,0.6720476,621,1.272901,79,-9999,5,10,-9876,1141.07,781.0531,613.0488
122,042bf6e1-a9cd-42db-be95-6a5a04a9697c,1,True,False,-1234,2,0.6850661,632,1.285783,83,-9999,5,10,-9876,805.0677,512.0576,463.05
123,042bf6e1-a9cd-42db-be95-6a5a04a9697c,2,True,False,-1234,3,0.6791794,632,1.255529,82,-9999,5,10,-9876,793.0698,518.0558,476.0491
124,042bf6e1-a9cd-42db-be95-6a5a04a9697c,3,True,False,-1234,1,0.6633472,605,1.268061,84,-9999,5,10,-9876,1028.065,656.0534,570.0494
125,042bf6e1-a9cd-42db-be95-6a5a04a9697c,4,True,False,-1234,2,0.7053673,637,1.268664,82,-9999,5,10,-9876,891.0588,610.0531,512.0485
126,042bf6e1-a9cd-42db-be95-6a5a04a9697c,5,True,False,-1234,3,0.676913,637,1.302734,83,-9999,5,10,-9876,888.0723,622.0656,482.0518
127,042bf6e1-a9cd-42db-be95-6a5a04a9697c,6,True,False,-1234,1,0.667752,592,1.265055,80,-9999,5,10,-9876,906.0824,573.0579,576.0579
128,042bf6e1-a9cd-42db-be95-6a5a04a9697c,7,True,False,-1234,2,0.6906106,624,1.256121,83,-9999,5,10,-9876,796.0698,531.0582,485.0512
